stage_norm,modality_norm,method_norm,combo_n,q3_external_validation_signal_count,q3_multisource_strategy_signal_count,q3_explainability_signal_count,q3_multisite_signal_count,q3_external_validation_signal_rate,q3_multisource_strategy_signal_rate,q3_explainability_signal_rate,q3_multisite_signal_rate,positive_practice_total,has_any_positive,combo_label
Prescreening,Not specified,Machine Learning,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Prescreening | Not specified | Machine Learning (n=1)
Screening,Image,Hybrid,4,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Screening | Image | Hybrid (n=4)
Screening,Not specified,Deep Learning,4,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Screening | Not specified | Deep Learning (n=4)
Screening,Not specified,Hybrid,2,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Screening | Not specified | Hybrid (n=2)
Screening,Physiological signals,Machine Learning,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Screening | Physiological signals | Machine Learning (n=1)
Screening,Text / NLP,Machine Learning,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Screening | Text / NLP | Machine Learning (n=1)
Screening,Text / NLP,Deep Learning,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Screening | Text / NLP | Deep Learning (n=1)
Screening,Not specified,Machine Learning,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Screening | Not specified | Machine Learning (n=1)
Diagnosis,Physiological signals,Machine Learning,7,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Diagnosis | Physiological signals | Machine Learning (n=7)
Diagnosis,Image,Hybrid,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Diagnosis | Image | Hybrid (n=1)
Diagnosis,Image,Not specified,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Diagnosis | Image | Not specified (n=1)
Diagnosis,Text / NLP,Deep Learning,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Diagnosis | Text / NLP | Deep Learning (n=1)
Diagnosis,Text / NLP,Not specified,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Diagnosis | Text / NLP | Not specified (n=1)
Diagnosis,Audio / Voice,Hybrid,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Diagnosis | Audio / Voice | Hybrid (n=1)
Diagnosis,Multimodal,Deep Learning,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Diagnosis | Multimodal | Deep Learning (n=1)
Diagnosis,Multimodal,Hybrid,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Diagnosis | Multimodal | Hybrid (n=1)
Prognosis,Not specified,Machine Learning,4,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Prognosis | Not specified | Machine Learning (n=4)
Prognosis,Image,Not specified,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Prognosis | Image | Not specified (n=1)
Prognosis,Physiological signals,Deep Learning,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Prognosis | Physiological signals | Deep Learning (n=1)
Prognosis,Not specified,Deep Learning,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Prognosis | Not specified | Deep Learning (n=1)
Prognosis,Not specified,Hybrid,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Prognosis | Not specified | Hybrid (n=1)
Monitoring/intervention,Not specified,Machine Learning,3,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Monitoring/intervention | Not specified | Machine Learning (n=3)
Monitoring/intervention,Image,Machine Learning,2,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Monitoring/intervention | Image | Machine Learning (n=2)
Monitoring/intervention,Image,Deep Learning,2,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Monitoring/intervention | Image | Deep Learning (n=2)
Monitoring/intervention,Physiological signals,Hybrid,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Monitoring/intervention | Physiological signals | Hybrid (n=1)
Monitoring/intervention,Multimodal,Machine Learning,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Monitoring/intervention | Multimodal | Machine Learning (n=1)
Monitoring/intervention,Multimodal,Deep Learning,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Monitoring/intervention | Multimodal | Deep Learning (n=1)
Monitoring/intervention,Multimodal,Not specified,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Monitoring/intervention | Multimodal | Not specified (n=1)
Monitoring/intervention,Not specified,Not specified,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Monitoring/intervention | Not specified | Not specified (n=1)
Not specified,Image,Deep Learning,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Not specified | Image | Deep Learning (n=1)
Not specified,Physiological signals,Deep Learning,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Not specified | Physiological signals | Deep Learning (n=1)
Not specified,Text / NLP,Machine Learning,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Not specified | Text / NLP | Machine Learning (n=1)
Not specified,Text / NLP,Deep Learning,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Not specified | Text / NLP | Deep Learning (n=1)
Not specified,Not specified,Machine Learning,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Not specified | Not specified | Machine Learning (n=1)
Not specified,Not specified,Deep Learning,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Not specified | Not specified | Deep Learning (n=1)
Not specified,Not specified,Hybrid,1,0,0,0,0,0.0,0.0,0.0,0.0,0,False,Not specified | Not specified | Hybrid (n=1)
